Tahun dan Bulan ;pendidikan, rekreasi dan olahraga ;makanan jadi, minuman, rokok dan tembakau
Mei-06;135.43;136.86
Jun-06;135.78;137.2
Jul-06;136.2;138.15
Agu-06;136.68;144.74
Sep-06;136.86;147.41
Okt-06;137.74;147.56
Nov-06;138.39;147.6
Des-06;139.93;147.7
Jan-07;141.15;147.85
Feb-07;142.07;148.19
Mar-07;142.58;148.23
Apr-07;143.12;148.18
Mei-07;143.79;148.19
Jun-07;144.27;148.24
Jul-07;144.84;148.52
Agu-07;145.53;152.37
Sep-07;146.19;160.05
Okt-07;146.93;160.38
Nov-07;147.56;160.55
Des-07;148.9;160.74
Jan-08;151.9;160.75
Feb-08;153.24;160.82
Mar-08;154.89;160.97
Apr-08;156.22;161.18
Mei-08;157.57;161.78
